gob_offset,flag,uncomp_size,crc32,name,path,method
0x0,122,671,0x327a56c7,.\common\audio\arena1_2devents.csv,gfc_extracted\./common/audio/arena1_2devents.csv,crc
0x800,122,1722,0x6a8b9e07,.\common\audio\teknee1_2devents.csv,gfc_extracted\./common/audio/teknee1_2devents.csv,crc
0x1000,122,2522,0xbf644f5,.\common\audio\voicegroups.csv,gfc_extracted\./common/audio/voicegroups.csv,crc
0x1800,122,123,0xce57fe59,.\common\audio\voices.csv,gfc_extracted\./common/audio/voices.csv,crc
0x2000,122,512,0xe9450156,.\ps2\audio\voodrum1.vag,gfc_extracted\./ps2/audio/voodrum1.vag,crc
0x2800,122,7509,0xf6430438,.\ps2\controls\deadzonemaps.csv,gfc_extracted\./ps2/controls/deadzonemaps.csv,crc
0x3000,122,2899,0xa3bbbe2c,.\ps2\controls\tactile.csv,gfc_extracted\./ps2/controls/tactile.csv,crc
0x3800,122,547,0x17f87696,.\ps2\gfx\chars\barinboss.igb,gfc_extracted\./ps2/gfx/chars/barinboss.igb,crc
0x4000,122,311,0xe10a4dba,.\common\gameprogression\adventurehistory.csv,gfc_extracted\./common/gameprogression/adventurehistory.csv,crc
0x4800,122,3035,0x75cca258,.\common\gameprogression\adventuretracksmanager.csv,gfc_extracted\./common/gameprogression/adventuretracksmanager.csv,crc
0x5000,122,2459,0xf3d5c18f,.\common\gameprogression\arcadehistory.csv,gfc_extracted\./common/gameprogression/arcadehistory.csv,crc
0x5800,122,188,0xa6e798f2,.\common\gameprogression\crystaltimes.csv,gfc_extracted\./common/gameprogression/crystaltimes.csv,crc
0x6000,122,447,0x4aa0ea72,.\common\gameprogression\ctfconfig.csv,gfc_extracted\./common/gameprogression/ctfconfig.csv,crc
0x6800,122,1110,0xa365045e,.\common\gameprogression\cuppoints.csv,gfc_extracted\./common/gameprogression/cuppoints.csv,crc
0x7000,122,430,0x74b84dcd,.\common\gameprogression\domconfig.csv,gfc_extracted\./common/gameprogression/domconfig.csv,crc
0x7800,122,241,0x7f91ca61,.\common\gameprogression\fmvhistory.csv,gfc_extracted\./common/gameprogression/fmvhistory.csv,crc
0x8000,122,674,0xd34e9582,.\common\gameprogression\goalstorewardsconverter.csv,gfc_extracted\./common/gameprogression/goalstorewardsconverter.csv,crc
0x8800,122,1438,0x4e87212b,.\common\gameprogression\hinthistory.csv,gfc_extracted\./common/gameprogression/hinthistory.csv,crc
0x9000,122,1122,0x4848025f,.\common\gameprogression\hiscores.csv,gfc_extracted\./common/gameprogression/hiscores.csv,crc
0x9800,122,9342,0x894eeb0c,.\common\gameprogression\ntropyghostunlocktimes.csv,gfc_extracted\./common/gameprogression/ntropyghostunlocktimes.csv,crc
0xa000,122,769,0x4a18720c,.\common\gameprogression\percentcomplete.csv,gfc_extracted\./common/gameprogression/percentcomplete.csv,crc
0xa800,122,159,0x56d1dc8,.\common\gameprogression\relictimes.csv,gfc_extracted\./common/gameprogression/relictimes.csv,crc
0xb000,122,1115,0x3f75e773,.\common\gameprogression\unlockables.csv,gfc_extracted\./common/gameprogression/unlockables.csv,crc
0xb800,122,2187,0x9178878b,.\common\gameprogression\warppadinfo.csv,gfc_extracted\./common/gameprogression/warppadinfo.csv,crc
0xc000,122,4486,0x216b8f73,.\common\gfx\extanim\barin1-anim-cam.igb,gfc_extracted\./common/gfx/extanim/barin1-anim-cam.igb,crc
0xc800,122,398,0x816694f3,.\common\hints\aku370.rcf,gfc_extracted\./common/hints/aku370.rcf,crc
0xd000,122,7029,0xdd5bffeb,.\common\hud\spectator.csv,gfc_extracted\./common/hud/spectator.csv,crc
0xe000,122,14587,0x4c7521fa,.\common\physics\kartrepel.csv,gfc_extracted\./common/physics/kartrepel.csv,crc
0xf000,122,15662,0x3707080b,.\common\physics\kpcoco.csv,gfc_extracted\./common/physics/kpcoco.csv,crc
0x10800,122,2277,0x79ba2fee,.\common\physics\kpcortex.csv,gfc_extracted\./common/physics/kpcortex.csv,crc
0x11000,122,2272,0x50c5b0c1,.\common\physics\kpcrash.csv,gfc_extracted\./common/physics/kpcrash.csv,crc
0x11800,122,2272,0x50c5b0c1,.\common\physics\kpcrash.csv,gfc_extracted\./common/physics/kpcrash.csv,crc
0x12000,122,2271,0x5ec2f257,.\common\physics\kpdingodile.csv,gfc_extracted\./common/physics/kpdingodile.csv,crc
0x12800,122,2137,0x3f6185c1,.\common\physics\kpfakecrash.csv,gfc_extracted\./common/physics/kpfakecrash.csv,crc
0x13000,122,2279,0xd2473aae,.\common\physics\kpngin.csv,gfc_extracted\./common/physics/kpngin.csv,crc
0x13800,122,2277,0x79ba2fee,.\common\physics\kpcortex.csv,gfc_extracted\./common/physics/kpcortex.csv,crc
0x14000,122,2270,0x2a827b9e,.\common\physics\kpntrance.csv,gfc_extracted\./common/physics/kpntrance.csv,crc
0x14800,122,2270,0x2a827b9e,.\common\physics\kpntrance.csv,gfc_extracted\./common/physics/kpntrance.csv,crc
0x15000,122,2273,0xc4b239f9,.\common\physics\kppolar.csv,gfc_extracted\./common/physics/kppolar.csv,crc
0x15800,122,2191,0x76e02594,.\common\physics\kppura.csv,gfc_extracted\./common/physics/kppura.csv,crc
0x16000,122,2191,0x76e02594,.\common\physics\kppura.csv,gfc_extracted\./common/physics/kppura.csv,crc
0x16800,122,2119,0x98ba8224,.\common\physics\kptiny.csv,gfc_extracted\./common/physics/kptiny.csv,crc
0x17000,122,2271,0x5ec2f257,.\common\physics\kpdingodile.csv,gfc_extracted\./common/physics/kpdingodile.csv,crc
0x17800,122,2191,0x76e02594,.\common\physics\kppura.csv,gfc_extracted\./common/physics/kppura.csv,crc
0x18000,122,2139,0x80e77fe3,.\common\physics\surfparm.csv,gfc_extracted\./common/physics/surfparm.csv,crc
0x18800,122,1103,0x75e40fa4,.\common\ui\dut\credits.csv,gfc_extracted\./common/ui/dut/credits.csv,crc
0x19000,122,1893,0xa6d18ffa,.\common\ui\feobjspool.csv,gfc_extracted\./common/ui/feobjspool.csv,crc
0x19800,122,74,0x83134789,.\common\ui\igigb_hb.csv,gfc_extracted\./common/ui/igigb_hb.csv,crc
0x1a000,122,779,0x5270c86f,.\common\ui\igobjspool.csv,gfc_extracted\./common/ui/igobjspool.csv,crc
0x1a800,122,153,0x8516447f,.\ps2\ui\introdsc.dat,gfc_extracted\./ps2/ui/introdsc.dat,crc
0x1b000,48,2043,0x1cb8564,,gfc_extracted\block_00050\block_00050.csv,content
0x1b800,122,504,0x49325caa,.\common\ui\spa\credits.csv,gfc_extracted\./common/ui/spa/credits.csv,crc
0x1c000,122,452,0x44cf8b12,.\common\weapons\bossweapons.csv,gfc_extracted\./common/weapons/bossweapons.csv,crc
0x1c800,122,65536,0xb06be294,,gfc_extracted\block_00053\block_00053.bin,content
0x22800,122,15276,0x8d09b862,,gfc_extracted\block_00054\block_00054.bin,content
0x24800,122,4029,0xa89664b5,.\ps2\ui\introtxr.igb,gfc_extracted\./ps2/ui/introtxr.igb,crc
0x25000,122,1041,0xf9ecc789,.\common\ui\ita\credits.csv,gfc_extracted\./common/ui/ita/credits.csv,crc
0x25800,122,4248,0xfa3ba8eb,.\ps2\gfx\ui\buttons\bar.igb,gfc_extracted\./ps2/gfx/ui/buttons/bar.igb,crc
0x26000,122,65536,0x3fbb86e9,,gfc_extracted\block_00058\block_00058.bin,content
0x27800,122,65536,0x9fde4511,,gfc_extracted\block_00059\block_00059.bin,content
0x29800,122,65536,0x371accdb,,gfc_extracted\block_00060\block_00060.bin,content
0x2a800,122,65536,0x436207fb,,gfc_extracted\block_00061\block_00061.bin,content
0x2c000,122,65536,0x8bb6be67,,gfc_extracted\block_00062\block_00062.bin,content
0x2c800,122,65536,0xba9038a4,,gfc_extracted\block_00063\block_00063.bin,content
0x2d800,122,7221,0x787797df,,gfc_extracted\block_00064\block_00064.bin,content
0x2e000,122,42398,0xa3f699eb,.\ps2\ui\fetextur.igb,gfc_extracted\./ps2/ui/fetextur.igb,crc
0x32800,48,67579,0x43196c5f,,gfc_extracted\block_00066\block_00066.png,content
0x43000,48,67579,0xc405412f,,gfc_extracted\block_00067\block_00067.bin,content
