address,hub,direction,distance,peer
0x000743c8,,-,1000000000,0
0x00075158,,-,1000000000,0
0x00076038,,-,1000000000,0
0x00076058,,-,1000000000,0
0x00076160,,-,1000000000,0
0x00076460,,-,1000000000,0
0x00076680,,-,1000000000,0
0x00100070,0x00512ee0,upstream,2,0
0x00100140,0x00513210,upstream,3,0
0x00100250,,-,1000000000,0
0x00100260,0x00513210,upstream,2,0
0x00100690,,-,1000000000,0
0x001006f0,0x00428998,upstream,2,0
0x00100bc0,0x00428998,upstream,3,0
0x00100f00,0x00428998,upstream,2,0
0x00101840,,-,1000000000,0
0x00101c20,,-,1000000000,0
0x00101e70,,-,1000000000,0
0x00101ec0,,-,1000000000,0
0x00101f40,0x0043af80,upstream,2,0
0x00102510,0x00428998,upstream,3,0
0x00102540,0x00428998,upstream,2,0
0x00102740,,-,1000000000,0
0x00102850,,-,1000000000,0
0x00102af0,0x00428998,upstream,2,0
0x00102e90,0x00428998,upstream,2,0
0x001030f0,0x00511940,upstream,3,0
0x00103170,0x00511940,upstream,2,0
0x00103380,0x00428998,upstream,4,0
0x00103570,0x00428998,upstream,5,0
0x001036b0,0x00428998,upstream,4,0
0x00103da0,0x00428998,upstream,3,0
0x00104270,,-,1000000000,0
0x00104340,,-,1000000000,0
0x00104390,,-,1000000000,0
0x00104570,,-,1000000000,0
0x00104940,,-,1000000000,0
0x001049f0,,-,1000000000,0
0x00104b90,,-,1000000000,0
0x00104cc0,0x00428998,upstream,3,0
0x00105010,0x00428998,upstream,2,0
0x00105100,0x00428998,upstream,3,0
0x001053d0,0x00511940,upstream,2,0
0x00105530,0x00511940,upstream,2,0
0x001057e0,,-,1000000000,0
0x00105940,0x0043af80,upstream,3,0
0x00105d30,0x00428998,upstream,2,0
0x00106f90,,-,1000000000,0
0x00107050,0x001071e0,upstream,1,0
0x001071e0,0x001071e0,upstream,0,1
0x001072a0,0x004f2210,upstream,1,0
0x00107370,0x004f2210,upstream,1,1
0x00107470,0x004f2210,upstream,2,0
0x00107520,0x00511940,upstream,2,0
0x00107570,0x00511940,upstream,1,0
0x00107bd0,0x0058a7a0,upstream,2,0
0x00108000,0x0058a7a0,upstream,1,0
0x001081f0,0x0058a7a0,upstream,1,0
0x00108540,,-,1000000000,0
0x00108630,,-,1000000000,0
0x001086e0,,-,1000000000,0
0x001088f0,,-,1000000000,0
0x00108a80,,-,1000000000,0
0x00108b40,,-,1000000000,1
0x00108ee8,,-,1000000000,0
0x00108f00,,-,1000000000,0
0x00108f30,0x00429068,upstream,4,0
0x00108f60,0x0023c590,upstream,1,0
0x00109170,0x0051e5a0,upstream,1,0
0x001092b0,0x0051e5a0,upstream,1,0
0x00109330,,-,1000000000,0
0x00109340,,-,1000000000,0
0x00109510,0x004ba240,upstream,1,0
0x00109580,0x004ba240,upstream,1,0
0x001095e0,0x004ba240,upstream,1,0
0x00109630,0x004ba240,upstream,1,0
0x00109680,0x004ba240,upstream,1,0
0x00109800,0x00238120,upstream,1,0
0x00109f80,0x0042f3a0,upstream,2,0
0x0010a110,,-,1000000000,0
0x0010a150,0x0042f3a0,upstream,1,0
0x0010b290,,-,1000000000,0
