caller,callee,a0,a1,a2,a3
0x00104cc0,0x00105100,own_a0,own_a1,own_a2,own_a3
0x00104cc0,0x00105010,ptr,own_a0,ptr,ptr
0x001153f0,0x00115430,own_a0,own_a1,own_a2,own_a3
0x001153f0,0x00115460,own_a0,own_a1,own_a2,own_a3
0x0012bf60,0x0012c220,own_a0,own_a1,own_a2,own_a3
0x0012bf60,0x00540780,own_a0,ptr,own_a2,own_a3
0x0012c1f0,0x001aeee0,own_a0,own_a1,own_a2,own_a3
0x0012c400,0x0012bda0,own_a0,own_a2,own_a2,own_a0
0x0012d570,0x0012c650,own_a0,int,own_a2,own_a3
0x00147a30,0x001865c0,ptr,own_a1,own_a2,own_a3
0x00147a30,0x0018ccb0,ptr,int,own_a2,own_a3
0x00147a30,0x00151310,int,ptr,own_a2,own_a3
0x00147a30,0x00186680,int,ptr,own_a2,own_a3
0x00147a30,0x00296c70,int,ptr,own_a2,own_a3
0x00147a30,0x00151160,int,ptr,own_a2,own_a3
0x00147a30,0x00296c70,int,ptr,own_a2,own_a3
0x00147a30,0x00151160,int,ptr,own_a2,own_a3
0x00147a30,0x001865c0,ptr,ptr,own_a2,own_a3
0x00147a30,0x00296c70,int,ptr,own_a2,own_a3
0x00147a30,0x00151160,int,ptr,own_a2,own_a3
0x00147cc0,0x00296c70,int,own_a1,own_a2,own_a3
0x00147cc0,0x00151160,int,own_a1,own_a2,own_a3
0x00147cc0,0x00296c70,int,own_a1,own_a2,own_a3
0x00147cc0,0x00151160,int,own_a1,own_a2,own_a3
0x00148aa0,0x00114cf0,own_a0,own_a1,own_a2,own_a3
0x00148aa0,0x00150710,int,own_a1,own_a2,own_a3
0x00148aa0,0x00114cf0,int,own_a1,own_a2,own_a3
0x0014b870,0x00296c70,int,own_a1,own_a2,own_a3
0x0014b870,0x00151160,int,own_a1,own_a2,own_a3
0x0014b870,0x00296c70,int,own_a1,own_a2,own_a3
0x0014b870,0x00151160,int,own_a1,own_a2,own_a3
0x0014b8d0,0x00296c70,int,own_a1,own_a2,own_a3
0x0014b8d0,0x00151160,int,own_a1,own_a2,own_a3
0x0014b8d0,0x00296c70,int,own_a1,own_a2,own_a3
0x0014b8d0,0x00151160,int,own_a1,own_a2,own_a3
0x0017a230,0x0058d7c0,own_a0,ptr,ptr,own_a0
0x0017a230,0x0058d7c0,own_a0,ptr,ptr,own_a0
0x00181500,0x0017af20,own_a0,own_a1,own_a2,own_a3
0x00183650,0x0043bc40,own_a0,own_a1,own_a2,own_a3
0x00184810,0x00189fc0,own_a0,own_a1,own_a2,ptr
0x00185250,0x0018a960,own_a0,own_a1,own_a2,own_a3
0x00185250,0x0018ddc0,own_a0,own_a1,own_a2,own_a3
0x00188080,0x00189d40,own_a0,own_a1,own_a2,own_a3
0x00188080,0x00189d40,own_a0,own_a1,own_a2,own_a3
0x00188080,0x0018ae80,own_a0,int,own_a2,own_a3
0x00188080,0x0018ae80,own_a0,int,own_a2,own_a3
0x00188080,0x0018b4f0,own_a0,int,own_a2,own_a3
0x00188080,0x0018bd00,own_a0,int,own_a2,own_a3
0x00189cf0,0x00189130,own_a0,own_a1,own_a2,own_a3
0x00189cf0,0x00189130,own_a0,own_a1,own_a2,own_a3
0x00189d40,0x00189170,own_a0,own_a1,own_a2,own_a3
0x00189d40,0x00189170,own_a0,own_a1,own_a2,own_a3
0x0018ae20,0x00189130,own_a0,own_a1,own_a2,own_a3
0x0018ae80,0x00189170,own_a0,own_a1,own_a2,own_a3
0x00194f90,0x00337690,own_a0,own_a0,own_a2,own_a3
0x00195c80,0x00195cd0,own_a0,own_a1,own_a2,own_a3
0x00198de0,0x00198ac0,own_a0,own_a1,own_a2,own_a3
0x00198de0,0x00190f60,own_a0,int,own_a2,own_a3
0x00198e80,0x00190f60,own_a0,int,own_a2,own_a3
0x00198ed0,0x00196890,own_a0,own_a1,own_a2,own_a3
0x00198ed0,0x00196890,own_a0,own_a1,own_a2,own_a3
0x00198ed0,0x00190f60,own_a0,int,own_a2,own_a3
0x00198ed0,0x00190f60,own_a0,int,own_a0,own_a3
0x00198ed0,0x00190f60,own_a0,int,own_a0,own_a3
0x001a8d10,0x001a5ab0,own_a0,own_a1,own_a2,own_a3
0x001a94a0,0x00196800,own_a1,own_a1,own_a2,own_a3
0x001ab5b0,0x001de100,own_a1,own_a1,own_a2,own_a3
0x001ab6b0,0x00199120,own_a0,own_a1,own_a2,own_a3
0x001ab880,0x00337430,own_a0,own_a0,own_a2,own_a3
0x001ca430,0x00184850,ptr,ptr,own_a2,own_a3
0x001ca430,0x00134ec0,ptr,ptr,own_a2,own_a3
0x001ca430,0x00198b60,ptr,ptr,own_a2,own_a3
0x001ca430,0x00134ec0,ptr,int,own_a2,own_a3
0x001ca430,0x00198b60,ptr,int,own_a2,own_a3
0x001ca430,0x00134ec0,ptr,int,own_a2,own_a3
0x001ca430,0x00198b60,ptr,int,own_a2,own_a3
0x001cb220,0x0015df80,own_a0,own_a1,own_a2,own_a3
0x001cb220,0x001cade0,own_a0,ptr,own_a2,own_a3
0x001cb220,0x00198a40,ptr,int,own_a2,own_a3
0x001ebea0,0x001eb740,own_a0,own_a1,own_a2,own_a3
0x00237bb0,0x003f94c8,own_a0,own_a1,own_a2,own_a3
0x00237bb0,0x003f94c8,own_a0,own_a1,own_a2,own_a3
0x00240040,0x0023e070,own_a0,int,own_a2,own_a3
0x00240040,0x0023e070,own_a0,int,own_a2,own_a3
0x00241210,0x0023e070,own_a0,own_a1,own_a2,own_a3
0x00241380,0x0023e070,own_a0,own_a1,own_a2,own_a3
0x002414c0,0x0023e070,own_a0,own_a1,own_a2,own_a3
0x002467a0,0x00244580,own_a1,own_a1,own_a2,own_a3
0x002b5bf0,0x00112490,int,own_a1,own_a2,own_a3
0x002b5bf0,0x00112490,int,own_a1,own_a2,own_a3
0x002c33d0,0x00428df8,own_a1,own_a1,own_a2,own_a3
0x002c48f0,0x002c5ef0,own_a0,own_a1,int,own_a3
0x002e7870,0x005141e0,ptr,ptr,own_a2,own_a3
0x002e7870,0x00511940,ptr,ptr,own_a2,own_a3
0x003342e0,0x00512ee0,own_a0,own_a1,own_a2,own_a3
0x00337690,0x003f6780,ptr,int,own_a2,own_a3
0x00337690,0x0033c1b0,own_a3,int,own_a2,own_a3
0x00337690,0x00395f10,own_a3,own_a3,own_a2,own_a3
0x00337690,0x00397200,own_a3,own_a3,own_a2,own_a3
0x00337690,0x003981c0,own_a3,own_a3,own_a2,own_a3
0x00337690,0x003988c0,own_a3,ptr,own_a2,own_a3
0x00337690,0x00341750,ptr,ptr,own_a2,int
0x00337690,0x00429068,ptr,ptr,own_a2,int
0x00337690,0x00341860,ptr,ptr,own_a2,int
0x00337690,0x00428f48,ptr,int,own_a2,int
0x00337690,0x0033be20,int,ptr,own_a2,int
0x0033b860,0x00506440,own_a0,own_a1,own_a2,own_a3
0x0033c170,0x0033c3b0,own_a0,own_a0,own_a0,own_a3
0x00377190,0x0036edc0,own_a0,own_a1,own_a2,own_a3
0x003994a0,0x0038da20,own_a0,own_a1,own_a2,own_a3
0x003e1300,0x003f7c10,own_a0,own_a1,ptr,own_a3
0x003e1300,0x003ec660,own_a0,own_a1,ptr,own_a3
0x003ebea0,0x003ed9d0,own_a0,own_a1,own_a0,own_a0
0x003fd320,0x0042a798,int,own_a1,own_a2,own_a3
0x0040be00,0x0042a798,int,own_a1,own_a2,own_a3
0x00417650,0x0042a798,int,own_a1,own_a2,own_a3
0x00428630,0x004285f0,ptr,own_a1,own_a2,own_a3
0x00428b18,0x00428f48,own_a0,own_a1,int,own_a3
0x00429708,0x0043d1c8,own_a0,own_a1,own_a2,own_a3
0x00429760,0x0043d298,own_a0,own_a1,own_a2,own_a3
0x004297c0,0x0043d1d8,own_a0,own_a1,own_a2,own_a3
0x00429820,0x0043d1a0,own_a0,own_a1,own_a2,own_a3
0x00429880,0x0043d128,own_a0,own_a1,own_a2,own_a3
0x004298e0,0x0043d1e0,own_a0,own_a1,own_a2,own_a3
0x00429940,0x0043d0a8,own_a0,own_a1,own_a2,own_a3
0x004299a0,0x0042a5e8,ptr,int,own_a2,own_a3
0x004299a0,0x00429c60,ptr,int,own_a2,own_a3
