address,raw_name,symbol,module,body_bytes,callees_real,callees_stub,callers,globals,cop2,loops,branches,float_ops,leaf_hint,leaf_detail,score
0x00104cc0,FUN_00104cc0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001071e0,FUN_001071e0,memcpy64,core/mem,681,0,0,0,0,0,0,1,0,,,13.62
0x00108ee8,FUN_00108ee8,,,57,0,1,1,0,0,0,0,0,thunk,wraps FUN_00445d90,5.14
0x0010c820,FUN_0010c820,,,276,0,0,0,0,0,0,1,0,convert,cast/float math,5.52
0x0010e780,FUN_0010e780,packed_bits_write,core/bitstream,2045,0,0,0,0,0,2,7,0,,,43.9
0x0010ee50,FUN_0010ee50,packed_bits_read,core/bitstream,2045,0,0,0,0,0,2,7,0,,,43.9
0x00114cf0,FUN_00114cf0,,,126,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,2.52
0x001153f0,FUN_001153f0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00115430,FUN_00115430,,,167,0,0,0,0,0,0,0,0,convert,cast/float math,3.34
0x00115460,FUN_00115460,,,53,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,1.06
0x0011c0c0,FUN_0011c0c0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0011c7e0,FUN_0011c7e0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0011e790,FUN_0011e790,defaults_init_entity,game/entity,868,0,0,0,0,0,0,0,0,,,17.36
0x001206f0,FUN_001206f0,,,335,0,0,0,0,3,0,0,0,other,simd/vu0,15.7
0x00120720,FUN_00120720,,,363,0,0,0,0,4,0,0,0,other,simd/vu0,19.26
0x00120750,FUN_00120750,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x001207c0,FUN_001207c0,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x001238d0,FUN_001238d0,,core/struct,308,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",6.16
0x0012bda0,FUN_0012bda0,collision_support,physics/collision,873,0,0,0,0,0,0,8,0,,,17.46
0x0012bf60,FUN_0012bf60,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0012c1f0,FUN_0012c1f0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0012c400,FUN_0012c400,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0012d570,FUN_0012d570,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00134ec0,FUN_00134ec0,,,298,0,0,0,0,0,0,1,0,memcmp,"compares two structs, returns int",5.96
0x00136110,FUN_00136110,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x0013e950,FUN_0013e950,,,263,0,0,0,0,0,0,1,0,predicate,boolean test on struct fields,5.26
0x00147a30,FUN_00147a30,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00147cc0,FUN_00147cc0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00148aa0,FUN_00148aa0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0014b870,FUN_0014b870,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0014b8d0,FUN_0014b8d0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00154d50,FUN_00154d50,,,323,0,0,0,0,0,1,1,0,convert,cast/float math,7.96
0x00157010,FUN_00157010,,,247,0,0,0,0,0,0,1,6,memcmp,"compares two structs, returns int",10.94
0x00157070,FUN_00157070,,,312,0,0,0,0,0,0,1,8,memcmp,"compares two structs, returns int",14.24
0x00157440,FUN_00157440,,,247,0,0,0,0,0,0,1,6,memcmp,"compares two structs, returns int",10.94
0x001574a0,FUN_001574a0,,,312,0,0,0,0,0,0,1,8,memcmp,"compares two structs, returns int",14.24
0x0015ba30,FUN_0015ba30,vec3_copy,math/vec,274,0,0,0,0,0,0,0,0,,,5.48
0x00161de0,FUN_00161de0,,,233,0,0,0,0,1,0,0,0,other,simd/vu0,7.66
0x00165e70,FUN_00165e70,accessor_fields,core/struct,653,0,0,0,0,0,0,1,0,,,13.06
0x0016a110,FUN_0016a110,,,281,0,0,0,0,0,0,1,1,convert,cast/float math,6.62
0x0016b030,FUN_0016b030,,,193,0,0,0,0,0,0,1,0,convert,cast/float math,3.86
0x0017a230,FUN_0017a230,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00181500,FUN_00181500,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00183650,FUN_00183650,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00184810,FUN_00184810,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00185250,FUN_00185250,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00188080,FUN_00188080,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00189cf0,FUN_00189cf0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00189d40,FUN_00189d40,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0018ae20,FUN_0018ae20,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0018ae80,FUN_0018ae80,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0018ddc0,FUN_0018ddc0,,,84,0,0,0,0,0,0,0,0,getter,reads 0 field(s),1.68
0x0018f950,FUN_0018f950,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00190370,FUN_00190370,transform_point_vu0_f,math/matrix,596,0,0,0,0,7,0,0,0,,,32.92
0x00194f90,FUN_00194f90,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00195820,FUN_00195820,kart_speed_ratio,game/kart,417,0,0,0,0,0,0,3,8,,,16.34
0x00195c80,FUN_00195c80,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00195cd0,FUN_00195cd0,,,126,0,0,0,0,0,0,0,0,convert,cast/float math,2.52
0x001963d0,FUN_001963d0,,,280,0,0,0,0,0,0,1,0,convert,cast/float math,5.6
0x00197870,FUN_00197870,,,351,0,0,0,1,0,0,2,0,convert,cast/float math,9.52
0x00198de0,FUN_00198de0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00198e80,FUN_00198e80,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
