address,name,module,status,in_deg,out_deg,degree,component,betweenness
0x00584e00,0x00584e00,,,4,0,4,17127,0.0000
0x002e4110,0x002e4110,,stub_code,0,2,2,17127,0.0000
0x00196b40,0x00196b40,,stub_code,3,18,21,17127,0.0000
0x0033bae0,0x0033bae0,,,1,0,1,17127,0.0000
0x002c7920,0x002c7920,,,1,0,1,17127,0.0000
0x005bf860,0x005bf860,,stub_code,1,1,2,17127,0.0000
0x005652e0,0x005652e0,,,1,0,1,17127,0.0000
0x002e2df0,0x002e2df0,,stub_code,0,2,2,17127,0.0000
0x004dc9d0,0x004dc9d0,,stub_code,0,4,4,17127,0.0000
0x00135320,0x00135320,,stub_code,2,2,4,17127,4.0000
0x003e6560,0x003e6560,,stub_code,2,2,4,17127,1.8214
0x005a0ba0,0x005a0ba0,,,1,0,1,2,0.0000
0x0030f390,0x0030f390,,stub_code,0,1,1,17127,0.0000
0x00128070,0x00128070,,stub_code,16,2,18,17127,4.0000
0x004f3fd0,0x004f3fd0,,stub_code,2,4,6,17127,32.0000
0x002b17e0,0x002b17e0,,,1,0,1,17127,0.0000
0x002a3e30,0x002a3e30,,stub_code,1,1,2,17127,0.0000
0x00443780,0x00443780,,stub_code,0,8,8,17127,0.0000
0x00214520,0x00214520,,stub_code,2,1,3,17127,0.0000
0x001a4630,0x001a4630,,stub_code,0,1,1,2,0.0000
0x00409aa0,0x00409aa0,,,1,0,1,17127,0.0000
0x00264c10,0x00264c10,,stub_code,1,1,2,17127,0.0000
0x004cb340,0x004cb340,,stub_code,0,1,1,17127,0.0000
0x00076038,0x00076038,,,2,0,2,8,0.0000
0x005a2d80,0x005a2d80,,stub_code,0,6,6,17127,0.0000
0x001fa2e0,0x001fa2e0,,stub_code,0,3,3,17127,0.0000
0x0036daf0,0x0036daf0,,stub_code,1,12,13,17127,0.0000
0x0014e4a0,0x0014e4a0,,,1,0,1,17127,0.0000
0x0012c500,0x0012c500,,stub_code,1,4,5,17127,0.0000
0x003e4ae0,0x003e4ae0,,stub_code,1,3,4,17127,0.3333
0x00194bc0,0x00194bc0,,stub_code,0,9,9,17127,0.0000
0x00151fa0,0x00151fa0,,,4,0,4,17127,0.0000
0x001911b0,0x001911b0,,stub_code,20,1,21,17127,3.0000
0x001de5e0,0x001de5e0,,stub_code,0,2,2,17127,0.0000
0x00260690,0x00260690,,,3,0,3,17127,0.0000
0x00477ef8,0x00477ef8,,stub_code,1,4,5,17127,4.0000
0x0054ea90,0x0054ea90,,stub_code,0,6,6,17127,0.0000
