address,name,symbol,module,status,args,return_kind,accesses,calls,jalr,consts,ptr_derefs,float,cop2,simd,confidence
0x00104cc0,FUN_00104cc0,FUN_00104cc0,,pseudo_stub,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x10:8;a0+0x12:2;a0+0x13:1;a0+0x2c:4;a0+0x34:4;a0+0x38:4;a0+0x49:1,0x00105010;0x00105100,0,lui 0x700000;mask 0x3fff;mask 0x3f;mask 0xf;lui 0x650000;lui 0xfff00000,0,0,0,0,0.50
0x001071e0,FUN_001071e0,memcpy64,core/mem,real_c,a0=ptr;a1=ptr;a2=int;a3=int,void,a0+0x0:16f;a0+0x4:4f;a0+0x8:4f;a0+0xc:4f;a0+0x10:16f;a0+0x14:4f;a0+0x18:4f;a0+0x1c:4f;a0+0x20:16f;a0+0x24:4f;a0+0x28:4f;a0+0x2c:4f;a0+0x30:16f;a0+0x34:4f;a0+0x38:4f;a0+0x3c:4f;a1+0x0:16f;a1+0x4:4f;a1+0x8:4f;a1+0xc:4f;a1+0x10:16f;a1+0x14:4f;a1+0x18:4f;a1+0x1c:4f;a1+0x20:16f;a1+0x24:4f;a1+0x28:4f;a1+0x2c:4f;a1+0x30:16f;a1+0x34:4f;a1+0x38:4f;a1+0x3c:4f,,0,mask 0xf,0,1,0,0,0.60
0x00108ee8,FUN_00108ee8,FUN_00108ee8,,real_logic,a0=int;a1=-;a2=-;a3=-,void,,,0,lui 0x720000,0,0,0,0,0.45
0x0010c820,FUN_0010c820,FUN_0010c820,,real_logic,a0=ptr;a1=ptr;a2=int;a3=int,ptr,a0+0x-380:4;a0+0x8:4;a0+0xc:4;a0+0x10:4;a0+0x63c:4;a0+0x9c8:4;a1+0x8:4;a1+0xc:4;a1+0x10:4;a1+0x14:4;a1+0x18:4;a1+0x1c:4;a1+0x20:4;a1+0x24:4;a1+0x28:4;a1+0x2c:4;a1+0x640:4;a1+0x644:4;a1+0x648:4;a1+0x64c:4;a1+0x650:4;a1+0x654:4;a1+0x658:4;a1+0x65c:4,,0,mask 0x1;lui 0x610000;sz 0x8;sz 0x20;sz 0x4,0,0,0,0,0.55
0x0010e780,FUN_0010e780,packed_bits_write,core/bitstream,real_c,a0=ptr;a1=int;a2=ptr;a3=int,void,a0+0x0:1;a0+0x4:4p;a0+0x8:4;a0+0x10:4;a2+0xc:1,,0,mask 0x7;sz 0x8;sz 0xc;mask 0xff,2,0,0,0,0.65
0x0010ee50,FUN_0010ee50,packed_bits_read,core/bitstream,real_c,a0=ptr;a1=ptr;a2=int;a3=int,ptr,a0+0x0:1;a0+0x4:4p;a0+0xc:4;a0+0x10:4;a1+0xc:1,,0,mask 0x7;sz 0x8;sz 0xc;mask 0xff,3,0,0,0,0.65
0x00114cf0,FUN_00114cf0,FUN_00114cf0,,real_logic,a0=int;a1=-;a2=-;a3=-,void,,,0,lui 0x6f0000,0,0,0,0,0.45
0x001153f0,FUN_001153f0,FUN_001153f0,,pseudo_stub,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x1944:4,0x00115430;0x00115460,0,lui 0x10000,0,0,0,0,0.50
0x00115430,FUN_00115430,FUN_00115430,,real_logic,a0=ptr;a1=-;a2=-;a3=-,ptr,a0+0x1944:4,,0,lui 0x10000,0,0,0,0,0.50
0x00115460,FUN_00115460,FUN_00115460,,real_logic,a0=-;a1=-;a2=-;a3=-,void,,,0,lui 0x50000,0,0,0,0,0.35
0x0011c0c0,FUN_0011c0c0,FUN_0011c0c0,,pseudo_stub,a0=ptr;a1=w;a2=-;a3=-,ret,a0+0x0:4p;a0+0x8:4,,1,,1,0,0,0,0.60
0x0011c7e0,FUN_0011c7e0,FUN_0011c7e0,,pseudo_stub,a0=ptr;a1=w;a2=-;a3=-,ret,a0+0x0:4p;a0+0x8:4,,1,,1,0,0,0,0.60
0x0011e790,FUN_0011e790,defaults_init_entity,game/entity,real_c,a0=ptr;a1=int;a2=int;a3=-,void,a0+0x3c:4;a0+0x4c:4;a0+0x50:4;a0+0x54:4;a0+0x5c:1;a0+0x74:4;a0+0xac:1;a0+0xb0:4;a0+0xb4:4;a0+0xb8:4;a0+0xc4:4;a0+0xc8:4;a0+0xcc:4;a0+0xd0:4;a0+0xd4:4;a0+0xd8:4;a0+0xe0:1;a0+0xe4:4,,0,lui 0x3f800000;lui 0x42c80000;lui 0x42ca0000,0,0,0,0,0.50
0x001206f0,FUN_001206f0,FUN_001206f0,,real_logic,a0=ptr;a1=-;a2=-;a3=-,void,a0+0x0:16,,0,,0,0,1,0,0.55
0x00120720,FUN_00120720,FUN_00120720,,real_logic,a0=ptr;a1=-;a2=-;a3=-,void,a0+0x0:16,,0,,0,0,1,0,0.55
0x00120750,FUN_00120750,FUN_00120750,,real_logic,a0=ptr;a1=-;a2=-;a3=-,void,a0+0x0:16,,0,,0,0,1,0,0.55
0x001207c0,FUN_001207c0,FUN_001207c0,,real_logic,a0=ptr;a1=-;a2=-;a3=-,void,a0+0x0:16,,0,,0,0,1,0,0.55
0x001238d0,FUN_001238d0,FUN_001238d0,core/struct,real_logic,a0=ptr;a1=ptr;a2=-;a3=-,ptr,a0+0x0:4f;a0+0x4:4f;a0+0x8:4f;a0+0xc:4f;a1+0x0:4f;a1+0x4:4f;a1+0x8:4f;a1+0xc:4f,,0,,0,1,0,0,0.60
0x0012bda0,FUN_0012bda0,collision_support,physics/collision,real_c,a0=int;a1=int;a2=int;a3=-,int,,,0,lui 0x3f800000;mask 0x7;lui 0x3f000000;lui 0x10000,0,0,0,0,0.45
0x0012bf60,FUN_0012bf60,FUN_0012bf60,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,int,,0x0012c220;0x00540780,0,,0,0,0,0,0.55
0x0012c1f0,FUN_0012c1f0,FUN_0012c1f0,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,int,,0x001aeee0,0,,0,0,0,0,0.55
0x0012c400,FUN_0012c400,FUN_0012c400,,pseudo_stub,a0=ptr;a1=int;a2=ptr;a3=int,ret,a0+0x0:4p;a0+0x4:4p;a0+0x8:4p;a0+0x10:4p;a0+0x28:4;a0+0x2c:4p;a0+0x64:4;a2+0x8:4,0x0012bda0,1,lui 0x3f800000;lui 0xbaad0000,7,0,0,0,0.65
0x0012d570,FUN_0012d570,FUN_0012d570,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,ret,,0x0012c650,0,sz 0x20,0,0,0,0,0.45
0x00134ec0,FUN_00134ec0,FUN_00134ec0,,real_logic,a0=-;a1=-;a2=-;a3=-,ptr,,,0,,0,0,0,0,0.35
0x00136110,FUN_00136110,FUN_00136110,,real_logic,a0=ptr;a1=w;a2=-;a3=-,void,a0+0xa4:4f,,0,sz 0x60,0,1,1,0,0.60
0x0013e950,FUN_0013e950,FUN_0013e950,,real_logic,a0=ptr;a1=int;a2=-;a3=-,ptr,a0+0x0:4f;a0+0x4:4f;a0+0x8:4f,,0,lui 0x6f0000,0,1,0,0,0.55
0x00147a30,FUN_00147a30,FUN_00147a30,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,ret,,0x00151160;0x00151310;0x001865c0;0x00186680;0x0018ccb0;0x00296c70,0,lui 0x610000;lui 0x6f0000,0,0,0,0,0.45
0x00147cc0,FUN_00147cc0,FUN_00147cc0,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,ret,,0x00151160;0x00296c70,0,lui 0x610000,0,0,0,0,0.45
0x00148aa0,FUN_00148aa0,FUN_00148aa0,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,ptr,,0x00114cf0;0x00150710,0,,0,0,0,0,0.55
0x0014b870,FUN_0014b870,FUN_0014b870,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,ret,,0x00151160;0x00296c70,0,lui 0x630000,0,0,0,0,0.45
0x0014b8d0,FUN_0014b8d0,FUN_0014b8d0,,pseudo_stub,a0=int;a1=int;a2=int;a3=int,ret,,0x00151160;0x00296c70,0,lui 0x630000,0,0,0,0,0.45
0x00154d50,FUN_00154d50,FUN_00154d50,,real_logic,a0=int;a1=ptr;a2=int;a3=int,ptr,a1+0x0:4p;a1+0x4:4p;a1+0x8:4p;a1+0xc:4f;a1+0x10:4f;a1+0x14:4f;a1+0x20:4p,,0,lui 0x7f7f0000;mask 0xffffffff;sz 0x14,7,1,0,0,0.65
0x00157010,FUN_00157010,FUN_00157010,,real_logic,a0=ptr;a1=ptr;a2=-;a3=-,int,a0+0x4:4p;a0+0x8:4p;a0+0xa4:4f;a1+0x28:4,,0,lui 0x40000000;lui 0x40200000,2,1,0,0,0.70
0x00157070,FUN_00157070,FUN_00157070,,real_logic,a0=ptr;a1=ptr;a2=-;a3=-,ptr,a0+0x4:4p;a0+0x8:4p;a0+0xa4:4f;a1+0x8:4;a1+0x18:4;a1+0x28:4f,,0,lui 0x3f800000,2,1,0,0,0.70
0x00157440,FUN_00157440,FUN_00157440,,real_logic,a0=ptr;a1=ptr;a2=-;a3=-,int,a0+0x4:4p;a0+0x8:4p;a0+0xac:4f;a1+0x28:4,,0,lui 0x40000000;lui 0x40200000,2,1,0,0,0.70
