address,name,module,status,arg,label,provenance,confidence,hops,vias
0x000743c8,0x000743c8,,,a0,int,CALL_PROPAGATED,0.42,1,0x00658b50->0x000743c8
0x000743c8,0x000743c8,,,a1,int,CALL_PROPAGATED,0.42,1,0x00658b50->0x000743c8
0x000743c8,0x000743c8,,,a2,ptr,CALL_PROPAGATED,0.47,1,0x00658b50->0x000743c8
0x000743c8,0x000743c8,,,a3,int,CALL_PROPAGATED,0.42,1,0x00658b50->0x000743c8
0x00075158,0x00075158,,,a0,int,HEURISTIC,0.40,0,0x006581f0->0x00075158
0x00075158,0x00075158,,,a1,int,CALL_PROPAGATED,0.42,1,0x006581f0->0x00075158
0x00075158,0x00075158,,,a2,ptr,HEURISTIC,0.40,0,0x006581f0->0x00075158
0x00075158,0x00075158,,,a3,int,CALL_PROPAGATED,0.42,1,0x006581f0->0x00075158
0x00076038,0x00076038,,,a0,int,CALL_PROPAGATED,0.42,1,0x00658ed8->0x00076038
0x00076038,0x00076038,,,a1,int,CALL_PROPAGATED,0.42,1,0x00658ed8->0x00076038
0x00076038,0x00076038,,,a2,int,CALL_PROPAGATED,0.42,1,0x00658ed8->0x00076038
0x00076038,0x00076038,,,a3,int,CALL_PROPAGATED,0.42,1,0x00658ed8->0x00076038;0x00659120->0x00076038
0x00076058,0x00076058,,,a0,ptr,HEURISTIC,0.40,0,0x00658fe0->0x00076058
0x00076058,0x00076058,,,a1,int,HEURISTIC,0.40,0,0x00658fe0->0x00076058
0x00076058,0x00076058,,,a2,Unknown_a2_8,CALL_PROPAGATED,0.64,1,0x00658fe0->0x00076058
0x00076058,0x00076058,,,a3,int,CALL_PROPAGATED,0.42,1,0x00658fe0->0x00076058
0x00076160,0x00076160,,,a0,int,CALL_PROPAGATED,0.42,1,0x006592c0->0x00076160
0x00076160,0x00076160,,,a1,int,CALL_PROPAGATED,0.42,1,0x006592c0->0x00076160
0x00076160,0x00076160,,,a2,int,CALL_PROPAGATED,0.42,1,0x006592c0->0x00076160
0x00076160,0x00076160,,,a3,int,CALL_PROPAGATED,0.42,1,0x006592c0->0x00076160
0x00076460,0x00076460,,,a0,int,HEURISTIC,0.40,0,0x00658fe0->0x00076460
0x00076460,0x00076460,,,a1,ptr,HEURISTIC,0.40,0,0x00658fe0->0x00076460
0x00076460,0x00076460,,,a2,Unknown_a2_8,CALL_PROPAGATED,0.64,1,0x00658fe0->0x00076460
0x00076460,0x00076460,,,a3,int,HEURISTIC,0.42,1,0x00658fe0->0x00076460;0x00659120->0x00076460;0x00659308->0x00076460
0x00076680,0x00076680,,,a0,int,HEURISTIC,0.40,0,0x00659308->0x00076680
0x00076680,0x00076680,,,a1,ptr,HEURISTIC,0.40,0,0x00659308->0x00076680
0x00076680,0x00076680,,,a2,ptr,HEURISTIC,0.40,0,0x00659308->0x00076680
0x00076680,0x00076680,,,a3,int,HEURISTIC,0.40,0,0x00659308->0x00076680
0x00100070,0x00100070,,stub_code,a0,Unknown_a0_18,DIRECT,0.75,0,-
