address,name,status,known_good,return_c,args_c,args_src
0x00108ee8,FUN_00108ee8,real_logic,0,void,int a0,a0:int
0x0010c820,FUN_0010c820,real_logic,0,void *,"void * a0, void * a1, int a2, int a3",a0:ptr|a1:ptr|a2:int|a3:int
0x00114cf0,FUN_00114cf0,real_logic,0,void,int a0,a0:int
0x00115430,FUN_00115430,real_logic,0,void *,void * a0,a0:ptr
0x00115460,FUN_00115460,real_logic,0,void,,
0x001206f0,FUN_001206f0,real_logic,0,void,void * a0,a0:ptr
0x00120720,FUN_00120720,real_logic,0,void,"void * a0, struct Unknown_a2_0_4_8 * a2",a0:ptr|a2:struct Unknown_a2_0_4_8
0x00120750,FUN_00120750,real_logic,0,void,void * a0,a0:ptr
0x001207c0,FUN_001207c0,real_logic,0,void,void * a0,a0:ptr
0x001238d0,FUN_001238d0,real_logic,0,void *,"struct Unknown_a0_0_4_8_c * a0, struct Unknown_a1_0_4_8_c * a1",a0:struct Unknown_a0_0_4_8_c|a1:struct Unknown_a1_0_4_8_c
0x00134ec0,FUN_00134ec0,real_logic,0,void *,,
0x00136110,FUN_00136110,real_logic,0,void,void * a0,a0:ptr
0x0013e950,FUN_0013e950,real_logic,0,void *,"struct Unknown_a0_0_4_8 * a0, int a1",a0:struct Unknown_a0_0_4_8|a1:int
0x00154d50,FUN_00154d50,real_logic,0,void *,"int a0, void * a1, int a2, int a3",a0:int|a1:ptr|a2:int|a3:int
0x00157010,FUN_00157010,real_logic,0,int,"void * a0, void * a1",a0:ptr|a1:ptr
0x00157070,FUN_00157070,real_logic,0,void *,"void * a0, void * a1",a0:ptr|a1:ptr
0x00157440,FUN_00157440,real_logic,0,int,"void * a0, void * a1",a0:ptr|a1:ptr
0x001574a0,FUN_001574a0,real_logic,0,void *,"void * a0, void * a1",a0:ptr|a1:ptr
0x00161de0,FUN_00161de0,real_logic,0,void *,"void * a0, void * a1, struct Unknown_a2_0_4_8 * a2, int a3",a0:ptr|a1:ptr|a2:struct Unknown_a2_0_4_8|a3:int
0x0016a110,FUN_0016a110,real_logic,0,void *,"void * a0, int a1, int a2",a0:ptr|a1:int|a2:int
0x0016b030,FUN_0016b030,real_logic,0,void *,"void * a0, int a1, int a2, int a3",a0:ptr|a1:int|a2:int|a3:int
0x0018ddc0,FUN_0018ddc0,real_logic,0,void,,
0x00195cd0,FUN_00195cd0,real_logic,0,void,"void * a0, struct Unknown_a1_0_4_8 * a1",a0:ptr|a1:struct Unknown_a1_0_4_8
0x001963d0,FUN_001963d0,real_logic,0,void *,"void * a0, int a1, int a2, int a3",a0:ptr|a1:int|a2:int|a3:int
0x00197870,FUN_00197870,real_logic,0,void *,"void * a0, void * a1, int a2",a0:ptr|a1:ptr|a2:int
0x0019a560,FUN_0019a560,real_logic,0,void,"void * a0, int a1, int a2, int a3",a0:ptr|a1:int|a2:int|a3:int
0x0019d330,FUN_0019d330,real_logic,0,void *,void * a0,a0:ptr
0x001acde0,FUN_001acde0,real_logic,0,void *,"struct Unknown_a0_0_4_8_c * a0, struct Unknown_a1_0_4_8 * a1",a0:struct Unknown_a0_0_4_8_c|a1:struct Unknown_a1_0_4_8
0x001b82f0,FUN_001b82f0,real_logic,0,void *,"struct Unknown_a0_0_4_8_c * a0, struct Unknown_a1_0_4_8 * a1",a0:struct Unknown_a0_0_4_8_c|a1:struct Unknown_a1_0_4_8
0x001c3470,FUN_001c3470,real_logic,0,void *,"struct Unknown_a0_0_4_8_c * a0, struct Unknown_a1_0_4_8 * a1",a0:struct Unknown_a0_0_4_8_c|a1:struct Unknown_a1_0_4_8
0x001ca130,FUN_001ca130,real_logic,0,void *,"struct Unknown_a0_0_4_8_c * a0, struct Unknown_a1_0_4_8_c * a1",a0:struct Unknown_a0_0_4_8_c|a1:struct Unknown_a1_0_4_8_c
0x001cad90,FUN_001cad90,real_logic,0,void *,"struct Unknown_a0_0_4_8_c * a0, struct Unknown_a1_0_4_8 * a1",a0:struct Unknown_a0_0_4_8_c|a1:struct Unknown_a1_0_4_8
0x001ccb00,FUN_001ccb00,real_logic,0,void *,"struct Unknown_a0_0_4_8_c * a0, struct Unknown_a1_0_4_8_c * a1",a0:struct Unknown_a0_0_4_8_c|a1:struct Unknown_a1_0_4_8_c
