address,file_offset,size,category,detail
0x00100070,0xf0,208,code,"52 words, prologue=True return=False l=98%"
0x00100140,0x1c0,288,code,"72 words, prologue=True return=False l=98%"
0x00100260,0x2e0,1168,code,"292 words, prologue=True return=False l=98%"
0x001006f0,0x770,1232,code,"308 words, prologue=True return=False l=94%"
0x00100bc0,0xc40,832,code,"208 words, prologue=True return=False l=89%"
0x00100f00,0xf80,2368,code,"592 words, prologue=True return=False l=95%"
0x00101840,0x18c0,992,code,"248 words, prologue=True return=False l=91%"
0x00101c20,0x1ca0,672,code,"168 words, prologue=True return=False l=92%"
0x00101ec0,0x1f40,128,code,"32 words, prologue=True return=False l=93%"
0x00101f40,0x1fc0,1488,code,"372 words, prologue=True return=False l=99%"
0x00102510,0x2590,48,code,"12 words, prologue=True return=False l=83%"
0x00102540,0x25c0,512,code,"128 words, prologue=True return=False l=96%"
0x00102740,0x27c0,944,code,"236 words, prologue=True return=False l=97%"
0x00102af0,0x2b70,928,code,"232 words, prologue=True return=False l=96%"
0x00102e90,0x2f10,608,code,"152 words, prologue=True return=False l=98%"
0x001030f0,0x3170,128,code,"32 words, prologue=True return=False l=93%"
0x00103170,0x31f0,528,code,"132 words, prologue=True return=False l=96%"
0x00103380,0x3400,496,code,"124 words, prologue=True return=False l=98%"
0x00103570,0x35f0,320,code,"80 words, prologue=True return=False l=97%"
0x001036b0,0x3730,1776,code,"444 words, prologue=True return=False l=96%"
0x00103da0,0x3e20,1232,code,"308 words, prologue=True return=False l=96%"
0x00104270,0x42f0,288,code,"72 words, prologue=True return=False l=98%"
0x00104390,0x4410,480,code,"120 words, prologue=True return=False l=91%"
0x00104570,0x45f0,976,code,"244 words, prologue=True return=False l=95%"
0x00104940,0x49c0,592,code,"148 words, prologue=True return=False l=93%"
0x00104b90,0x4c10,304,code,"76 words, prologue=True return=False l=89%"
0x00105010,0x5090,240,code,"60 words, prologue=True return=False l=96%"
0x00105100,0x5180,720,code,"180 words, prologue=True return=False l=91%"
0x001053d0,0x5450,352,code,"88 words, prologue=True return=False l=98%"
0x00105530,0x55b0,688,code,"172 words, prologue=True return=False l=98%"
0x001057e0,0x5860,352,code,"88 words, prologue=True return=False l=97%"
0x00105940,0x59c0,1008,code,"252 words, prologue=True return=False l=93%"
0x00105d30,0x5db0,4704,code,"1176 words, prologue=True return=False l=97%"
0x00106f90,0x7010,192,code,"48 words, prologue=True return=False l=97%"
0x00107050,0x70d0,400,code,"100 words, prologue=True return=False l=98%"
0x001072a0,0x7320,208,code,"52 words, prologue=True return=False l=98%"
0x00107370,0x73f0,256,code,"64 words, prologue=True return=False l=98%"
0x00107470,0x74f0,176,code,"44 words, prologue=True return=False l=97%"
0x00107520,0x75a0,80,code,"20 words, prologue=True return=False l=95%"
0x00107570,0x75f0,1632,code,"408 words, prologue=True return=False l=97%"
0x00107bd0,0x7c50,1072,code,"268 words, prologue=True return=False l=90%"
0x00108000,0x8080,496,code,"124 words, prologue=True return=False l=65%"
0x001081f0,0x8270,848,code,"212 words, prologue=True return=False l=75%"
0x00108540,0x85c0,240,code,"60 words, prologue=True return=False l=86%"
0x00108630,0x86b0,1104,code,"276 words, prologue=True return=False l=80%"
0x00108a80,0x8b00,680,code,"170 words, prologue=True return=False l=92%"
0x00108f30,0x8fb0,48,code,"12 words, prologue=True return=False l=91%"
0x00108f60,0x8fe0,528,code,"132 words, prologue=True return=False l=99%"
0x00109170,0x91f0,320,code,"80 words, prologue=True return=False l=96%"
0x001092b0,0x9330,608,code,"152 words, prologue=True return=False l=94%"
0x00109510,0x9590,112,code,"28 words, prologue=True return=False l=92%"
0x00109580,0x9600,96,code,"24 words, prologue=True return=False l=91%"
0x001095e0,0x9660,80,code,"20 words, prologue=True return=False l=90%"
0x00109630,0x96b0,80,code,"20 words, prologue=True return=False l=90%"
0x00109680,0x9700,384,code,"96 words, prologue=True return=False l=97%"
0x00109800,0x9880,1920,code,"480 words, prologue=True return=False l=99%"
0x00109f80,0xa000,400,code,"100 words, prologue=True return=False l=99%"
0x0010a110,0xa190,64,code,"16 words, prologue=True return=False l=93%"
0x0010a150,0xa1d0,4432,code,"1108 words, prologue=True return=False l=99%"
0x0010b2a0,0xb320,848,code,"212 words, prologue=True return=False l=99%"
0x0010b5f0,0xb670,304,code,"76 words, prologue=True return=False l=98%"
0x0010b720,0xb7a0,480,code,"120 words, prologue=True return=False l=99%"
0x0010b900,0xb980,592,code,"148 words, prologue=True return=False l=99%"
0x0010bb50,0xbbd0,2336,code,"584 words, prologue=True return=False l=99%"
0x0010c470,0xc4f0,944,code,"236 words, prologue=True return=False l=94%"
0x0010cd70,0xcdf0,96,code,"24 words, prologue=True return=False l=91%"
0x0010cdd0,0xce50,80,code,"20 words, prologue=True return=False l=90%"
0x0010ce20,0xcea0,80,code,"20 words, prologue=True return=False l=90%"
0x0010ce70,0xcef0,96,code,"24 words, prologue=True return=False l=79%"
0x0010ced0,0xcf50,80,code,"20 words, prologue=True return=False l=85%"
0x0010cf20,0xcfa0,96,code,"24 words, prologue=True return=False l=87%"
0x0010cf80,0xd000,64,code,"16 words, prologue=True return=False l=93%"
0x0010cfc0,0xd040,256,code,"64 words, prologue=True return=False l=98%"
0x0010d0c0,0xd140,336,code,"84 words, prologue=True return=False l=98%"
